	PD_whole_tree	chao1	observed_otus
E7.10.Poc.dami.3.20150621.M	5.42226	53.0	27.0
E3.2.Tur.reni.1.20150124.M	15.13301	151.714285714	96.0
E3.10.Sty.pist.2.20150124.M	10.91996	192.875	80.0
E7.17.Fav.spA.2.20150623.M	5.90588	81.5	43.0
E10.17.Mon.curt.3.20150629.M	8.11083	123.666666667	65.0
E3.6.Acr.hyac.3.20150105.T	6.22054	121.0	46.0
E1.10.Poc.dami.1.20140905.T	14.13321	129.0	55.0
E3.17.Ech.mamm.1.20150127.M	3.49232	56.0	39.0
E3.6.Acr.hyac.2.20150123.S	4.42915	77.25	39.0
E3.6.Acr.hyac.3.20150120.M	10.67071	146.0	59.0
E3.6.Acr.hyac.1.20150123.M	11.93192	165.75	57.0
E7.6.Mon.aequ.2.20150620.T	21.25815	207.428571429	96.0
E7.10.Poc.dami.1.20150621.M	9.68656	230.6	98.0
E7.3.Por.loba.3.20150619.T	16.13381	104.4	60.0
E10.Acr.cyth.2.20150627.S	10.29541	133.052631579	98.0
E10.Acr.cyth.2.20150627.T	4.45631	73.2	39.0
E3.6.Acr.hyac.2.20150123.T	9.34169	188.0	77.0
E7.3.Por.loba.2.20150619.M	8.33604	117.0	52.0
E3.4.Pac.spec.1.20150129.S	11.67265	246.0	82.0
E3.15.Dip.heli.1.20150121.T	14.10368	148.0	85.0
E10.Aca.hill.3.20150629.T	7.51523	85.5	33.0
E7.17.Ech.lame.3.20150620.T	25.37046	281.583333333	124.0
E10.10.Sty.pist.3.20150630.T	8.1125	129.0	24.0
E3.5.Gal.astr.2.20150124.M	4.6774	136.142857143	56.0
E3.15.Dip.heli.1.20150123.M	7.57658	115.111111111	60.0
E7.5.Gal.fasc.1.20150622.M	7.33738	146.0	59.0
E1.19.Sym.sp.1.20140724.S	40.60477	428.523809524	235.0
E3.6.Acr.hyac.1.20150123.T	8.59766	180.0	69.0
E3.6.Acr.hyac.4.20150105.T	5.1485	67.0	44.0
E1.17.Ech.mamm.1.20140815.S	20.1495	263.214285714	110.0
E3.15.Dip.heli.2.20150106.T	48.97311	430.75	298.0
E1.14.Phy.lich.1.20140811.M	7.45586	84.4285714286	45.0
E10.Aca.hill.2.20150629.S	20.42939	187.083333333	97.0
E10.Acr.pali.2.20150627.M	25.44413	274.483870968	151.0
E1.17.Fav.sp.2.20140805.M	51.22526	717.058823529	299.0
E7.19.Lob.hemp.1.20150619.M	27.7018	237.384615385	167.0
E10.Acr.pali.2.20150627.S	12.71182	162.0	77.0
E1.10.Poc.dami.1.20140731.T	36.402	702.75	199.0
E3.19.Sym.sp.2.20150125.M	28.46563	327.875	172.0
E7.17.Fav.abdi.1.20150623.M	35.49969	284.352941176	211.0
E1.5.Gal.astr.1.20140905.S	71.76256	1378.3125	525.0
E1.2.Tur.stel.1.20140805.T	60.70109	1208.06666667	383.0
E3.15.Dip.heli.3.20150105.T	43.51872	1259.75	319.0
E3.19.Sym.sp.2.20150125.S	10.26225	156.0	66.0
E3.15.Dip.heli.2.20150120.M	11.91126	179.857142857	74.0
E7.17.Fav.spC.1.20150623.S	21.78242	300.875	118.0
E1.4.Pac.spec.1.20140801.T	7.01764	136.076923077	73.0
E3.6.Acr.hyac.1.20150121.T	7.31607	134.0	64.0
E1.10.Poc.dami.1.20140728.M	6.92672	95.1666666667	41.0
E1.6.Iso.pali.1.20140815.M	26.70534	277.307692308	140.0
E3.4.Pac.rugo.1.20150128.T	5.03457	93.0	43.0
E1.14.Phy.lich.1.20140811.T	13.0145	296.75	71.0
E3.6.Acr.hyac.4.20150105.S	6.92011	106.75	56.0
E1.7.Pav.veno.1.20140809.M	56.45703	761.375	339.0
E7.5.Gal.fasc.1.20150622.T	35.517	659.037037037	234.0
E1.3.Por.loba.1.20140905.S	14.38101	159.0	71.0
E1.3.Por.loba.1.20140726.S	60.46018	1206.3559322	436.0
E3.17.Ech.mamm.1.20150127.T	7.58461	94.6	44.0
E1.5.Gal.astr.1.20140905.T	69.38103	897.279069767	456.0
E7.17.Mer.ampl.2.20150621.T	20.15962	154.363636364	87.0
E3.15.Dip.heli.2.20150119.T	37.22454	303.285714286	213.0
E7.7.Pav.vari.1.20150623.T	56.32331	569.880597015	363.0
E1.19.Lob.sp.1.20140809.S	76.34643	1966.81538462	561.0
E1.14.Phy.lich.1.20140801.S	66.44067	1303.0	447.0
E3.19.Sym.sp.1.20150125.M	24.40591	309.555555556	171.0
E3.6.Acr.hyac.1.20150106.M	6.9014	142.5	48.0
E7.17.Gon.edwa.2.20150623.M	5.1862	64.75	41.0
E3.6.Acr.hyac.2.20150106.S	6.61402	108.0	48.0
E3.6.Acr.hyac.4.20150106.T	8.20553	63.0	33.0
E3.Out.Mil.sp.1.20150125.M	3.65423	36.5	20.0
E10.Poc.dami.2.20150628.M	5.00166	150.0	33.0
E3.7.Pav.vari.1.20150124.M	22.85043	335.571428571	153.0
E1.6.Acr.sp.1.20140726.S	5.90938	79.0	46.0
E7.6.Mon.aequ.4.20150620.S	9.29101	188.875	76.0
E3.5.Gal.astr.1.20150124.M	5.8806	81.6666666667	51.0
E3.6.Acr.hyac.1.20150105.S	8.0529	124.0	62.0
E7.17.Gon.edwa.1.20150623.M	4.68233	77.1111111111	49.0
E10.Ser.cali.1.20150627.M	4.44692	104.6	55.0
E10.Aca.hill.2.20150629.M	6.18637	217.428571429	76.0
E10.17.Gon.favu.2.20150630.M	10.94642	159.166666667	60.0
E3.6.Acr.hyac.3.20150121.M	5.48368	142.0	42.0
E1.19.Lob.sp.1.20140730.T	9.54921	140.111111111	74.0
E7.17.Fav.spC.1.20150623.T	15.36871	138.461538462	90.0
E10.10.Sty.pist.2.20150630.M	16.21702	106.083333333	85.0
E10.Acr.pali.3.20150627.S	9.43637	67.1111111111	52.0
E3.6.Acr.hyac.3.20150120.S	7.0563	113.666666667	55.0
E10.Mon.curt.2.20150629.M	7.32421	263.0	75.0
E3.6.Acr.hyac.1.20150120.S	11.32435	116.111111111	71.0
E3.15.Dip.heli.3.20150121.M	9.54708	169.666666667	74.0
E3.15.Dip.heli.3.20150106.M	10.94669	144.666666667	62.0
E10.Acr.cyth.3.20150627.T	5.73845	148.333333333	40.0
E7.19.Lob.hemp.1.20150621.M	10.60732	163.235294118	105.0
E1.11.Fun.sp.1.20140811.M	22.41313	322.0	103.0
E10.10.Poc.dami.1.20150630.M	10.49507	46.8571428571	39.0
E3.3.Por.cyli.1.20150123.S	19.0305	223.1	80.0
E7.10.Poc.dami.3.20150621.S	23.04159	193.0	132.0
E7.10.Ser.cali.1.20150622.T	15.0096	122.5	70.0
E3.4.Pac.spec.1.20150128.T	19.95462	173.461538462	104.0
E7.10.Poc.dami.1.20150621.S	17.27283	174.2	99.0
E3.15.Dip.heli.2.20150119.M	10.28916	178.0	73.0
E1.19.Sym.sp.1.20140814.S	18.31944	264.5	122.0
E3.6.Acr.hyac.2.20150120.S	10.63281	199.0	73.0
E1.15.Dip.heli.1.20140815.M	26.88497	217.083333333	150.0
E1.10.Sty.pist.1.20140815.M	44.79044	595.52	284.0
E7.17.Hyd.exes.2.20150622.S	17.1694	210.111111111	74.0
E7.5.Gal.fasc.1.20150622.S	19.83314	191.882352941	98.0
E3.Out.Mil.sp.2.20150125.T	11.17701	226.0	50.0
E7.7.Pav.vari.1.20150622.S	29.02895	369.227272727	215.0
E1.10.Sty.pist.1.20140807.T	8.58105	75.0	37.0
E10.Acr.cyth.1.20150627.M	16.58492	277.0	112.0
E1.11.Psa.cont.1.20140730.M	8.6966	75.0	37.0
E7.17.Myc.elep.1.20150622.T	29.28982	211.384615385	168.0
E3.3.Por.cyli.1.20150123.M	12.70682	162.666666667	80.0
E1.2.Tur.reni.1.20140814.M	55.8921	693.372881356	332.0
E1.Out.Pal.caes.1.20140809.M	68.84931	1305.9	468.0
E3.4.Pac.spec.1.20150129.M	22.77091	230.64	150.0
E10.Alv.alli.3.20150628.M	13.91927	93.5	68.0
E7.10.Ser.cali.1.20150622.M	7.12846	162.666666667	76.0
E10.Alv.alli.2.20150628.M	9.03136	135.076923077	81.0
E1.4.Pac.spec.1.20140811.M	23.05477	196.0	141.0
E1.11.Psa.digi.1.20140807.S	64.67137	1430.16666667	464.0
E1.4.Pac.rugo.1.20140728.T	10.99559	126.1875	89.0
E1.19.Lob.sp.1.20140730.M	20.86502	199.05	145.0
E1.2.Tur.reni.1.20140814.T	52.85682	902.779661017	371.0
E7.17.Hyd.exes.1.20150622.M	26.69278	181.807692308	142.0
E7.17.Hyd.exce.1.20150620.T	28.50681	487.4	144.0
E1.6.Iso.pali.1.20140803.S.2	43.177	541.142857143	275.0
E7.10.Ser.cali.3.20150622.S	24.39529	318.368421053	126.0
E7.17.Mer.ampl.3.20150621.M	23.40354	173.0	118.0
E7.17.Myc.elep.1.20150622.S	47.58368	857.518518519	344.0
E1.7.Pav.veno.1.20140811.M	47.75018	432.935483871	276.0
E7.17.Fav.spB.1.20150623.S	56.86068	1474.33333333	410.0
E7.17.Gon.edwa.2.20150623.T	47.63883	370.403846154	279.0
E7.10.Poc.dami.2.20150621.M	23.87308	164.130434783	123.0
E10.17.Fav.abdi.1.20150630.S	43.15116	537.666666667	255.0
E1.6.Iso.pali.1.20140803.T	43.22372	503.888888889	280.0
E10.Fav.abdi.1.20150629.T	7.7512	211.5	36.0
E3.4.Pac.rugo.1.20150127.S	20.0382	188.105263158	121.0
E1.11.Psa.digi.1.20140807.T	19.99288	405.5	80.0
E10.Alv.alli.1.20150628.T	21.39535	241.105263158	135.0
E1.7.Pav.vari.1.20140805.M	66.19793	1058.67901235	475.0
E1.3.Por.cyli.1.20140815.T	22.5951	289.05	123.0
E7.6.Mon.aequ.1.20150620.S	10.68026	158.5	65.0
E7.17.Pla.sine.1.20150622.T	20.88953	267.909090909	96.0
E3.3.Por.cyli.1.20150127.M	29.07011	285.794117647	168.0
E3.15.Dip.heli.1.20150123.T	9.902	144.5	67.0
E1.10.Poc.dami.1.20140728.T	10.52376	64.1428571429	37.0
E1.15.Dip.heli.1.20140905.T	45.44088	561.396226415	303.0
E3.6.Acr.hyac.2.20150121.S	12.2209	120.111111111	65.0
E1.19.Sym.sp.1.20140724.T	15.95995	133.0	68.0
